variant,gt,predictions,tp,fp,fn,dark_gt,dark_tp,raw_predictions,outside_roi_removed,duplicates_removed,precision,recall,f1,dark_recall,mean_inference_ms
full_v3,745,768,733,35,12,462,450,822,0,54,0.9544270833333334,0.9838926174496644,0.9689358889623265,0.974025974025974,67.78278332785703
without_roi,745,768,733,35,12,462,450,822,0,54,0.9544270833333334,0.9838926174496644,0.9689358889623265,0.974025974025974,67.78278332785703
without_dedup,745,822,735,87,10,462,452,822,0,0,0.8941605839416058,0.9865771812080537,0.9380982769623485,0.9783549783549783,67.78278332785703
conf_0_25,745,751,722,29,23,462,439,794,0,43,0.9613848202396804,0.9691275167785235,0.9652406417112299,0.9502164502164502,66.19834999825495
imgsz_1280,745,767,733,34,12,462,450,792,0,25,0.9556714471968709,0.9838926174496644,0.9695767195767195,0.974025974025974,29.926116675293695
iou_0_70,745,768,733,35,12,462,450,822,0,54,0.9544270833333334,0.9838926174496644,0.9689358889623265,0.974025974025974,70.87036666537945
model_v2,745,716,693,23,52,462,413,740,0,24,0.9678770949720671,0.9302013422818792,0.9486652977412731,0.8939393939393939,63.56348333065398
model_v1,745,700,681,19,64,462,402,745,0,45,0.9728571428571429,0.9140939597315436,0.942560553633218,0.8701298701298701,61.71161667831863
model_generic,745,631,631,0,114,462,362,694,32,31,1.0,0.8469798657718121,0.9171511627906976,0.7835497835497836,62.34730000142008
